topic_id,news1,news2,news3,news4,news5
0,छानबिन समितिले भन्यो- जेल प्रशासनले फोटो नराख्दा सुन्दर हरिजनले अर्कैको सजाय काट्नु पर्‍यो,आइजिपी नियुक्तिविरूद्ध दुई एआइजी अदालत जाँदै,सशस्त्र प्रहरी अतिरिक्त महानिरीक्षकमा राजु अर्याल सिफारिस,सशस्त्र प्रहरीको एआइजीमा बंशीराज दाहाललाई बढुवा गर्न सिफारिस,"बालिका बलात्कारको मुद्दा हेरिरहेकी सरकारी वकिलको सरूवा, भन्छिन्- मुद्दा कमजोर बनाउन नमान्दा हटाइयो"
1,कानून आयोगको प्रतिवेदनपछि बलात्कार मुद्दामा हदम्यादबारे कानूनमा आवश्यक व्यवस्था हुन्छ: मन्त्री कोइराला,द्वन्द्वकालमा मानव अधिकार उल्लंघनका घटनालाई दुई भागमा बाँड्ने गरी सरकारले ल्यायो विधेयक,हत्यामा आममाफी दिने गरी सरकारले ल्याएको विधेयकमा सांसदले हाले संशोधन,यौन हिंसाका दोषीलाई दिने सजाय कम भयो : कांग्रेस सांसद संग्रौला,संक्रमणकालीन न्यायको कानुन सच्याउन चार मानवअधिकार संस्थाको माग
2,दुई चुनावको लोकप्रिय मतका आधारमा कुन दलको कति सिटमा दाबी स्वाभाविक?,भारतको उत्तर प्रदेशमा भाजपा र पन्जाबमा आप बहुमततर्फ अग्रसर,"भारतका पाँच राज्यमा विधान सभाको मत गणना जारी, पन्जाबमा आम आदमी आउन सक्ने","सत्ता गठबन्धनभित्र प्रतिनिधि सभातर्फ लगभग सिट बाँडफाँट मिल्यो, आजदेखि प्रदेशको छलफल",गोवा पनि पुग्यो आम आदमी पार्टी
3,सरकारी वकिल कार्यालयमा बालकृष्ण खाणको 'ननस्टप' १० घन्टा बयान,नक्कली भुटानी शरणार्थी प्रकरणको अनुसन्धान प्रतिवेदन आज बुझाउँदै प्रहरी,"पक्राउ पुर्जी जारी भएपछि टोपबहादुर भन्छन्- दलालहरू के/के गर्छन्, मलाई केही थाहा छैन",पूर्वमन्त्री टोपबहादुर रायमाझीका छोरा सन्दीप बुटवलबाट पक्राउ,टोपबहादुर रायमाझी पक्राउ
4,करिब ३३ अर्ब बराबरको विदेशी लगानीको प्रतिवद्धता स्वीकृत,जनकपुर चुरोट कारखाना सञ्चालन गर्ने सरकारको तयारी,विदेश अध्ययनमा जानेलाई सटही सुविधा दिन शर्त राख्नुपर्ने पूर्व अर्थमन्त्री पाण्डेको सुझाव,पूर्ववर्ती सरकारको गलत नीतिका कारण अर्थतन्त्रमा समस्या देखियो– नेता गुरुङ,५ देखि ११ वर्षसम्मका बालबालिकालाई छिट्टै खोप दिने- प्रधानमन्त्री देउवा
5,"माधव नेपालको प्रश्न- राजा आऊ देश बचाऊ भन्छन्, नेपालमा राजा कुनै गतिला छन्?","प्रचण्डले प्रधानमन्त्री बन्ने इच्छा देखाउनुभयो, तर ढिलो गर्नुभयो: ओली (भिडिओ)",एकीकृत समाजवादीभित्र व्यक्तिवाद बढेको छ : माधव नेपाल,राजनीतिमा अबको लडाइँ सत्य र असत्यबीचको हुन्छ: ओली,"राजनीति दुई धारमा बाँडिएको छ, हामी चुनावबाटै ठेगान लगाउँछौ– ओली "
6,"गठबन्धनजस्तो छ, नीति तथा कार्यक्रम पनि तस्तै: विष्णु पौडेल",ओलीको प्रश्न: 'अर्ली इलेक्सन' भन्नेले जनतासँग क्षमा माग्नु पर्दैन?,"भीम रावलको आशंका- देउवा पाँच चोटि प्रधानमन्त्री हुँदा त यस्तो छ, ७ चोटि बने नेपालको हालत के होला?",घोषित रूपमा संविधान नमान्ने पार्टीसँग सहकार्य गर्नेले एमालेले संविधान मान्दैन भन्न मिल्छ?: महासचिव पोखरेल,"पार्टी पंक्तिमा आलस्यता, निराशा, निष्क्रियता देखियोः माधव नेपाल"
7,विराटनगर विमानस्थलको चाँडै स्तरोन्नति गरिनेछ: मन्त्री आले,नेपाल र भारतबीच चार सम्झौता/समझदारीमा हस्ताक्षर,भारतले जम्मु कस्मिरमा बनाउने भयो ५४० मेगावाटको जलविद्युत आयोजना,भारतले एयर रूट नदिए महँगो पर्नेछ पोखराको अन्तर्राष्ट्रिय उडान ,देउवा र मोदीले उद्घाटन गरे जयनगर-जनकपुर रेल
8,मुख्य निर्वाचन अधिकृत र निर्वाचन अधिकृतको कार्यालय निर्धारण हुँदै,स्थानीय तहबाटै मतदाता नामावली दर्ता तथा अद्यावधिक गर्न कार्यविधि बन्दै,निर्वाचन अधिकृत कार्यालयको स्थापना आजबाट सुरू,एमालेले धेरै आय भएका पाँच हजार सदस्यबाट महिनाको पाँच हजार उठाउने (अपानीसहित),आइतबारदेखि निर्वाचन आयोगको दैनिक प्रेस ब्रिफिङ
9,आज कांग्रेस केन्द्रीय समितिमा छलफल हुने यी हुन् एजेन्डा!,नेविसंघलाई पूर्णता दिन देउवामाथि दबाब,कांग्रेस केन्द्रीय समिति बैठक आज: कार्यसम्पादन र स्थानीय चुनावबारे छलफल,शेखर कोइरालाले बोलाए कांग्रेस संस्थापनइतर पक्षको बैठक,देउवा र कोइरालाबीच भातृ संस्थामा नेतृत्व दिनेलगायत विषयमा छलफल
10,"एमालेको कर्णाली प्रदेश अधिवेशन आजदेखि, को-को छन् अध्यक्षका दाबेदार",देशैभर ‘क्लिन स्वीप’ गर्ने सत्ता गठबन्धनको योजना विफल बनाउने शेर्पा को हुन्?,गण्डकीबाट कांग्रेस नेतृ कमला पन्त निर्वाचित ,प्रदेश १ को खुलातर्फ सत्ता गठबन्धनका र एमाले उम्मेद्वारको बराबरी मत,"एमाले कोशीमा रातभरि मतदान चल्यो, गणना आज १ बजेपछि"
11,मासिक तलब माग्दै त्रिविसहित देशैभरिका आंगिक क्याम्पसमा आंशिक प्राध्यापकको ताला,मेडिकल कलेजविरुद्धको आन्दोलनमा ऐक्यबद्धता जनाउन संयुक्त विद्यार्थी संगठनको अपील,नयाँ शिक्षा ऐन तत्काल जारी गर्न शिक्षामन्त्रीसँग अखिल(क्रान्तिकारी)को माग,प्रवेश परीक्षा मिति तोक्न इन्जिनियरिङ अध्ययन संस्थानलाई नेविसंघको आग्रह,"त्रिविमा पाँच महिनादेखि ताला: अनेरास्ववियु भन्छ- फोड्छौं, नेविसंघ भन्छ- प्रतिकार हुन्छ"
12,"अब आमाको नामबाट नागरिकता पाइने, असमानता भने कायमै","प्रतिनिधि सभाबाट नागरिकता विधेयक बहुमतले पारित, थाहा पाउनुहोस् विधेयकमा भएका यी ९ प्रावधान","राष्ट्रिय सभाबाट पनि नागरिकता विधेयक पारित, राष्ट्रपतिले प्रमाणीकरण गरेपछि लागू हुने",नयाँ कानुन अनुसार आइतबारदेखि नागरिकता दिइने,राष्ट्रपतिले किन गरिन् नागरिकता विधेयकमा स्वघोषणाको विरोध? 
